song_id,artist,title,period,genre,gold_theme,llm_theme,gold_emotion,llm_emotion,gold_values,llm_values
94ddad7f9d6c,Severina,Na punti Marjana,savremeno,pop,identitet/domovina,ljubav,pozitivno,pozitivno,"lokalni ponos, nostalgija, tradicija","romantika, odanost, strast, morska poezija"
6276273ea3e4,Nina Badrić,Ti si mene (with Dino Merlin),savremeno,pop,raskid/tuga,ljubav,mešano,mešano,"pomirenje sa sudbinom, neprebolna ljubav, nostalgija","predanost uprkos boljim opcijama, sudbina, neizbežnost osećanja"
be12851d2242,Dado Polumenta,Od vina si me opila,savremeno,pop,hedonizam/provod,ljubav,pozitivno,negativno,"strast, očaranost, opijenost","iluzija i samozapanjenje u ljubavi, moralna ambivalencija, svest o laži"
11f6c76e9f41,Severina,Imam novog dečka,savremeno,pop,raskid/tuga,ljubav,pozitivno,pozitivno,"inat, samopouzdanje, kretanje dalje","strast, samopouzdanje, nezavisnost, seduction"
848e03201226,Jelena Rozga,Ja znam dobro što mi je,savremeno,pop,raskid/tuga,ljubav,mešano,negativno,"prihvatljivost bola, emotivno zrelo prihvatanje, lečenje vremena","čežnja, nostalgia, emotivna zavisnost"
1f13b4cd3f54,Severina,Bojate bane buski,savremeno,pop,hedonizam/provod,ljubav,pozitivno,pozitivno,"igrivost, zabava, nostalgija","predanost, nežnost, večita ljubav"
36afd762c17d,Ana Nikolić,Ljubiti se znamo,savremeno,pop,ljubav,hedonizam/provod,pozitivno,pozitivno,"strast, privlačnost, emotivno prepuštanje","uživanje u trenutku, prijateljstvo, sloboda"
945e07d9f84a,Jelena Rozga,Ima nade (with Željko Samardžić),savremeno,pop,ljubav,raskid/tuga,mešano,negativno,"nada, neprebolna ljubav, opraštanje","samohvalstvo, iluzija i razočarenje, bolna realnost odnosa"
1b8b3260ec07,Senidah,Idi gade,savremeno,trep,raskid/tuga,ljubav,negativno,pozitivno,"povređenost, inat, razočaranje","svadba, slavlje, bračna radost, tradicija"
75c9018c3962,Dara Bubamara,Ne gledaj me tako,savremeno,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"povređenost, inat, razočaranje","patnja u ljubavi, očajanje, верност упркос боли"
329475f0c0b5,Boban Rajović,Bata,savremeno,turbo_folk,hedonizam/provod,ljubav,pozitivno,mešano,"udvaranje, zavodjenje, zabava","manipulacija, seksualna privlačnost, dominacija u odnosu"
9d9d07a5f610,Boban Rajović,Svako traži svoj put,savremeno,turbo_folk,raskid/tuga,identitet/domovina,mešano,negativno,"porodične veze, tradicija, nostalgija za domom","nostalgija za domom, bratstvo, dubina duše"
c37ef7ac0b9c,Halid Muslimović,"Piši, piši, jarane",sfrj,narodna_narodnjacka,prijateljstvo/porodica,identitet/domovina,mešano,negativno,"prijateljstvo, nostalgija za domom, odanost","nostalgija, lojalnost domovini, bratstvo, čuvanje традиције"
da01098a12c2,Halid Bešlić,Prolaznik,sfrj,narodna_narodnjacka,raskid/tuga,ljubav,negativno,negativno,"razočaranje, otuđenost, prolaznost ljubavi","prevara, emotivna distanca, ljubomora"
f688c5b62e00,Vesna Zmijanac,Dođi da se družimo,sfrj,narodna_narodnjacka,hedonizam/provod,ljubav,pozitivno,pozitivno,"radost, pomirenje, prijateljstvo","pomirenje, bliskost, prihvatanje sudbine"
11243e6b23e0,Vesna Zmijanac,Idem preko zemlje Srbije,sfrj,narodna_narodnjacka,identitet/domovina,ljubav,mešano,mešano,"odanost, ljubav prema domovini, poverenje","bezuslovna vera, utočište u dragoj osobi, prevazilaženje negativnosti"
a6095a04d473,Halid Muslimović,Takav sam ja,sfrj,narodna_narodnjacka,hedonizam/provod,ljubav,pozitivno,mešano,"sloboda, samopouzdanje, uživanje u životu","muški hedonizam, bezobzirnost, neizvesnost u odnosu"
b84a0ac4857f,Ana Bekuta,Umreću na tuđi dan,sfrj,narodna_narodnjacka,raskid/tuga,ljubav,negativno,negativno,"neuzvraćena ljubav, gubljenje nade, sudbina","neobjašnjiva sudbina, nemogućnost izbora, tuga zbog izgubljene prilike"
312a510412af,Hanka Paldum,Te su me oči lagale,sfrj,narodna_narodnjacka,raskid/tuga,ljubav,negativno,mešano,"razočaranje, izdaja, obmana","intimnost kroz pogled, izdaja i razočaranje, halucinacija preko pogleda"
945c9e8df15a,Električni orgazam,"Hajde, bejbe (daj da vidim sad)",sfrj,novi_talas,hedonizam/provod,raskid/tuga,pozitivno,negativno,"strast, zabava, ples, energija","distanca između ljudi, kasna saznanja, neizbežnost raskida"
e2b788b3c44d,Haustor,Donje strane munje,sfrj,novi_talas,politika/društvo,identitet/domovina,negativno,negativno,"otuđenost, teskoba, ratno stanje, propadanje","trauma, monotonija zatvorstva, gubitak identiteta"
d74a3f894657,Arsen Dedić,Život je more,sfrj,pop,ostalo,raskid/tuga,mešano,negativno,"borba, prkos, prolaznost, nada","otpornost u neizvesnosti, borba sa prošlošću, nada uprkos bolovima"
1c31e015871d,Zdravko Čolić,Kuba,sfrj,pop,hedonizam/provod,ljubav,pozitivno,pozitivno,"zabava, ples, sloboda, strast","bezuslovna prihvatanje, oslobađanje, uživanje u ljubavi"
d80640cc4898,Zdravko Čolić,"Ne kunite, ne krivite",sfrj,pop,ostalo,raskid/tuga,negativno,negativno,"oproštaj, rastanak, potraga za srećom, usamljenost","samotnja, traženje sreće, oprost i razumevanje, osamljenost"
52fdec8ab8a0,Crvena jabuka,Oči boje srne,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"neuzvraćena ljubav, patnja, opsesija, inat","opsesija, bezuslovna ljubav, patnja i žrtva"
7b17091045ba,Crvena jabuka,Sestro srca mog,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"kajanje, gubitak, tuga, praznina","kajanje, nostalgija, gubici zbog slepoće za onim što je važno"
80ad3990c95f,Zdravko Čolić,Ostanimo prijatelji,sfrj,pop,ljubav,raskid/tuga,mešano,mešano,"pomirenost, poštovanje, nostalgija, zrelost","nostalgija, pomirenje sa sudbinom, čuvanje dragocenih uspomena"
21c8e36f6976,Oliver Dragojević,Dobar dan,sfrj,pop,ljubav,raskid/tuga,mešano,negativno,"nostalgia, nedostajanje, teret prošlosti, tiha nada","nostalgia, bol od gubitka, tuga od rastanka"
604cb2562bcd,Tereza Kesovija,Zaboravi ako možeš,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"nostalgična tuga, ostavljenost, prekor, povređenost","nostalgija, bol od gubitka, nemoć da se zadrži ljubav"
2ba885f1f723,Crvena jabuka,Ovo je kraj (feat. Neverne bebe),sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"mirenje sa sudbinom, bol, neizbežnost, tugovanje","žaljenje, neizvesnost, bolna odluka, nedostajanje"
112cbe3bed03,Regina,Minijatura,sfrj,pop,ostalo,identitet/domovina,negativno,negativno,"razočaranje, otuđenost, površnost, gubitak privatnosti","usamljenost u uspehu, manipulacija okolinom, buntovnost"
cf70f8330ce3,Zdravko Čolić,Osvojio bi’ sve,sfrj,pop,ostalo,hedonizam/provod,pozitivno,pozitivno,"hedonizam, strast, sloboda, uživanje u životu","osvajanje, uživanje u ženskoj lepoti, bezbrižnost"
1c522f9febb6,Oliver Dragojević,Gore si ti,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"očaj, nenadoknadiv gubitak, večna odanost, čežnja za smrtnim spajanjem","žal za preminulom osobom, spiritualnost, večna ljubav"
b67cb3e998b0,Oliver Dragojević,Nisam te zaslužio,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"kajanje, mirenje sa krivicom, razočaranje u sebe, gubitak","kajanje, samoprigor, beznadežnost, gubitak ljubavi"
077b072f8f9b,Oliver Dragojević,Kreni,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"ponos, gorčina, rezignacija, raskid","poricanje bola, ponos, samozavaralactvo"
466eed6ed0d9,Tereza Kesovija,Sinoć kad sklopih oči,sfrj,pop,identitet/domovina,prijateljstvo/porodica,mešano,negativno,"čežnja za zavičajem, prijateljstvo, pripadnost, uspomene","nostalgija, čežnja za prijateljima, tuга rastanstva"
04e0f0fbabe6,Josipa Lisac,Omer-beže,sfrj,pop,raskid/tuga,ljubav,mešano,mešano,"ponos, prkos, dostojanstvo, pomirenost sa sudbinom","izdaja, bol od nevere, prihvatanje sudbine"
e3bc46a3d732,Oliver Dragojević,Malinkonija,sfrj,pop,ostalo,raskid/tuga,mešano,negativno,"pomirenost sa sudbinom, prolaznost života, odanost muzici, zajedništvo u tuzi","nostalalgija, prolaznost mladosti, melanholija, samoća"
af1089894414,Crvena jabuka,Ljeta koja dolaze,sfrj,pop,raskid/tuga,ljubav,mešano,mešano,"nada, nostalgija, čežnja, očekivanje boljih dana","nostalgija, nada usred bola, čeznja"
30af36fac1b4,Zdravko Čolić,Ajde idi,sfrj,pop,hedonizam/provod,ljubav,mešano,mešano,"strast, prolaznost, razočaranje, opijajuća igra","ljubav kao privremena iluzija, opasnost od zavisnosti, fizička privlačnost"
3b14740342c8,Novi fosili,Noćas umiru stare ljubavi,sfrj,pop,raskid/tuga,ljubav,negativno,negativno,"bol, kraj ljubavi, nemoć, slomljeno srce","bol rastajanja, posljednja molba za ostankom, nada u ljubavi"
da578257b895,Novi fosili,Šu šu,sfrj,pop,raskid/tuga,ljubav,negativno,mešano,"tračevi, pritisak okoline, gradska šaputanja","prihvatanje laži, nemogućnost da se otkine, manipulacija u odnosu"
55c554a0d197,Crvena jabuka,Anđeli,sfrj,pop,ljubav,identitet/domovina,pozitivno,mešano,"kosmičko utočište, anđeoska zaštita, unutrašnji mir","spiritualnost, zaštita viših sila, pomirenje sa sopstvenim greškama"
c8f99fb8e6cf,Josipa Lisac,O jednoj mladosti,sfrj,pop,ostalo,identitet/domovina,mešano,negativno,"prolaznost vremena, traganje za smislom, tuga za mladošću","razočaranje, gubitak iluzija, traženje smisla"
15ff9963227b,Oliver Dragojević,Štorija,sfrj,pop,ostalo,identitet/domovina,neutralno,pozitivno,"životni mozaik, prihvaćanje sudbine, obične priče","ponos na domovinu, poštovanje tradicije, ljubav prema Dalmaciji"
ce826de582c4,Zdravko Čolić,Ti si bila uvijek bila,sfrj,pop,ljubav,raskid/tuga,pozitivno,negativno,"večna konstanta, stena oslonca, nepokolebljivost","kajanje, pokajanje, bezuslovna ljubav, nada uprkos boli"
a1cf58fe468c,Novi fosili,Dunjo mirisna,sfrj,pop,ljubav,prijateljstvo/porodica,pozitivno,pozitivno,"mirisi uspomena, toplina doma, nostalgija","nostalalgija, privrženost tradiciji, bezuslovna ljubav prema majci"
ceb0204d153a,Crvena jabuka,Na dlanu mi piše,sfrj,pop,ostalo,ljubav,mešano,negativno,"zapisana sudbina, predodređenost, nemogućnost bekstva","melanholija, strepnja, traženje utehe i blizine"
540a9846d8b5,Crvena jabuka,Svijet je lopta šarena,sfrj,pop,politika/društvo,ostalo,neutralno,negativno,"šarenilo sveta, površnost, traženje autentičnosti","existencijalna tuga, izgubljeno detinjstvo, propuštene šanse, traganje za smislom"
342810091afa,Oliver Dragojević,Vrime je,sfrj,pop,ljubav,raskid/tuga,pozitivno,negativno,"sazrevanje, emotivna predaja, pravi trenutak","prihvatanje sudbine, žal za izgubljenom ljubavlju, samo u snovima"
bbaab0e849f4,Oliver Dragojević,Bez tebe,sfrj,pop,raskid/tuga,ljubav,negativno,mešano,"praznina, beznađe, gubitak smisla","zahvalnost, bezuslovna podrška, zavisnost od voljene osobe"
174480937759,Plavi orkestar,Mladene,sfrj,pop,prijateljstvo/porodica,hedonizam/provod,mešano,pozitivno,"gubitak nevinosti, odrastanje, sudar sa realnošću","samopouzdanje, flertovanje, zabava, popularnost"
3534de119ae7,Zdravko Čolić,Daj mi to,sfrj,pop,hedonizam/provod,ljubav,pozitivno,negativno,"životna energija, trenutna strast, zanos","odbijanje nesrazmerne ljubavi, samodostojnost, granice"
c874293f55e6,Zdravko Čolić,Čarape crne,sfrj,pop,hedonizam/provod,ljubav,mešano,pozitivno,"tajanstvenost, zavodljiva opasnost, noćna strast","želja, čulnost, muška fascinacija"
b5bd307c2fe6,Crvena jabuka,Noći su hladne,sfrj,pop,raskid/tuga,ljubav,negativno,negativno,"emotivna hladnoća, odsustvo bliskosti, praznina","nostalgija, daljina i odvojenost, tuga od odvajanja"
f67a5d90ecd9,Prljavo kazalište,"Laku noć, tebi, Zagrebe",sfrj,rok,raskid/tuga,identitet/domovina,negativno,negativno,"opraštanje od grada, odlazak, emotivno pražnjenje","ponos periferije, kritika društvene hijerarhije, resentiman prema eliti"
a9945ecec623,Prljavo kazalište,Skočit ću,sfrj,rok,ostalo,raskid/tuga,mešano,negativno,"impulsivni očaj, pritisak bezizlaza, krik","sumnja, izdaja, bolna iskupljenja, beznadežnost"
92b16184b821,Zabranjeno pušenje,Halid umjesto Halida,sfrj,rok,politika/društvo,identitet/domovina,mešano,negativno,"nesavršene zamene, tužna uteha, lažni original","prolaznost slave, gubitak identiteta, degradacija, sudbina"
6bdb98d49a02,Parni valjak,Povratak ratnika,sfrj,rok,politika/društvo,ljubav,mešano,mešano,"unutrašnji ožiljci, neshvaćenost, težina svakodnevice","isceljenje kroz ljubav, trauma rata, pronalaženje utehe"
fe186e7a4291,Parni valjak,Autoput,sfrj,rok,politika/društvo,identitet/domovina,neutralno,negativno,"beg od monotonije, sloboda kretanja, otvoreni put","otpor sudbini, unutrašnja sloboda, odbacivanje društvenih normi"
88c4dab446fb,Prljavo kazalište,"Zbogom dame, zbogom prijatelji",sfrj,rok,prijateljstvo/porodica,identitet/domovina,mešano,negativno,"kraj mladosti, odrastanje, rastanak","nostalgija, tuga za domovinom, žrtva i patnja"
7118d990fada,Zabranjeno pušenje,Modni guru,sfrj,rok,politika/društvo,identitet/domovina,mešano,mešano,"lažni elitizam, prodavanje magle","satiričnost društvenih норми, buntovništvo protiv konvencije, LGBTQ+ identitet"
da5a45a4a6a9,Prljavo kazalište,Bježi ptico od mene,sfrj,rok,ostalo,raskid/tuga,negativno,negativno,"svest o padu, upozorenje, distanciranje","samoprerequisites, žrtva, bolna odvojenost"
7aa65728e228,Leb i sol,Nosim tvoj žig,sfrj,rok,raskid/tuga,ljubav,negativno,negativno,"trajni ožiljak, obeleženost, teška prošlost","bol od neispunjene ljubavi, trajni trag bola, nedostižnost"
173ff15280b8,Divlje jagode,Bubi,sfrj,rok,prijateljstvo/porodica,ljubav,mešano,pozitivno,"mladalačka nevinost, sećanja, nostalgija","samopouzdanje, flertovanje, privlačnost"
9eb9e010cfc4,Leb i sol,Femme fatale,sfrj,rok,hedonizam/provod,ljubav,mešano,mešano,"kobna opčinjenost, opasna mreža, strast","romantična fascinacija, osvajanje, samoizguba pred ženom"
0c719893bdc4,Divlje jagode,Ciganka,sfrj,rok,hedonizam/provod,identitet/domovina,mešano,negativno,"slobodan duh, nomadski život, van pravila","nomadizam, sudbina, tragičnost postojanja, kulturni identitet"
3fd614951ba1,Zabranjeno pušenje,Javi mi,sfrj,rok,prijateljstvo/porodica,ljubav,mešano,negativno,"veza sa zavičajem, sačuvano prijateljstvo, daljina","bezuslovna lojalnost, podrška u teškoćama, samoporicanje"
10626f0ee730,Prljavo kazalište,Vrijeme (sporo prolazi),sfrj,rok,ostalo,raskid/tuga,mešano,negativno,"agonija čekanja, usporenost vremena, nemir","pokajanje, samodisciplina, duhovni oporavak"
95d86b55fbc8,Prljavo kazalište,Sretan Božić,sfrj,rok,religija,politika/društvo,mešano,negativno,"prirodni tokovi, nezaustavljiva prolaznost, zaborav","kritika društvene nejednakosti, ljudska solidarnost, poricanje vlastite boli zbog većeg dobra"
32c59897781d,Parni valjak,Prokleta nedjelja,sfrj,rok,raskid/tuga,ljubav,negativno,mešano,"vikend samoća, udarac tuge, praznina","čeznja, nada u ljubavi, intima kao utešnost"
892d681b6289,Leb i sol,Sumorno proleće,sfrj,rok,ostalo,ljubav,mešano,mešano,"unutrašnje sivilo, duševni nesklad, melanholija","otpornost ljubavi pred antagonizmom, izolacija, upornost"
53041eb32d22,Divlje jagode,Davno ljeto ’89,sfrj,rok,prijateljstvo/porodica,raskid/tuga,mešano,negativno,"oslednja bezbrižnost, predratna nostalgija, uspomene","nostalgija, neraspaljiva ljubav, tuga za prošlošću"
5ecd2e71a0f7,Zabranjeno pušenje,Pamtim to kao da je bilo danas,sfrj,rok,prijateljstvo/porodica,identitet/domovina,mešano,negativno,"životne prekretnice, ulično sazrevanje, lekcije","nostalgija, izgubljena mladost, opomena pred samoćom, tragika izbora"
e9d70579d094,Nedeljko Bajić Baja,Svadba će da bude (with Anica Milenković),tranzicija,narodna_narodnjacka,hedonizam/provod,ljubav,mešano,pozitivno,"svadbeno veselje, ugovorena ljubav, narodni zanos","verna ljubav, predanost, jedinstvo, porodična podrška"
77f04d7bfc50,Nedeljko Bajić Baja,Oficir s ružom,tranzicija,narodna_narodnjacka,ljubav,identitet/domovina,mešano,negativno,"džentlmensko udvaranje, spoj čvrstine i nežnosti","otpor/buntovništvo, dostojanstvo, nepreklonost pred nepravdom"
72cadf3526c1,Nedeljko Bajić Baja,"Crna kosa, oči plave",tranzicija,narodna_narodnjacka,hedonizam/provod,ljubav,mešano,mešano,"opčinjenost izgledom, gubljenje razuma, lepotica","intenzivna strast, prihvatanje sudbine, iskrenost"
cef528fce02a,Nedeljko Bajić Baja,Mini suknja,tranzicija,narodna_narodnjacka,hedonizam/provod,ljubav,neutralno,pozitivno,"letnja provokacija, vizuelni flert, skretanje pažnje","samopouzdanje, seksualna privlačnost, posesivnost"
81a892cc90d6,Nedeljko Bajić Baja,Oslobodi me,tranzicija,narodna_narodnjacka,raskid/tuga,ljubav,negativno,negativno,"raskidanje okova, prekid kontrole, traženje slobode","žrtva ljubavi, samoodricanje, bezuslovna ljubav"
73f945326d8e,Nedeljko Bajić Baja,Svetski čovek,tranzicija,narodna_narodnjacka,hedonizam/provod,identitet/domovina,pozitivno,pozitivno,"životni šarm, dobrota, drugarstvo","putovanje, univerzalnost, muzika kao povezivač ljudi"
e721c24e0719,Nedeljko Bajić Baja,Leptir,tranzicija,narodna_narodnjacka,ljubav,raskid/tuga,pozitivno,negativno,"kratkotrajna lepota, emotivna nestalnost, lepršavost","nostalgija, nevratnost prošlosti, bol gubitka"
a96a789c67a5,Colonia,Ale ale,tranzicija,pop,hedonizam/provod,identitet/domovina,mešano,pozitivno,"kolektivna ekstaza, plesni zanos, zaboravljanje muka","nacionalni ponos, bratstvo, pripadnost zajednici"
dff3a1f8552e,Dino Merlin,Pogledaj sa prozora,tranzicija,pop,ljubav,raskid/tuga,pozitivno,negativno,"strpljiva čežnja, vera u susret, savladavanje daljine","nostalgija, neprežaljeni gubitak, nemogućnost pomirenja"
e0972cdfba55,Dino Merlin,Ćuskije,tranzicija,pop,hedonizam/provod,ljubav,mešano,negativno,"boemsko opuštanje, dobro društvo, zaboravljanje briga","čežnja, nostalgia, nemogućnost zaboravljanja"
86dc79afd25f,Dino Merlin,Božić je,tranzicija,pop,religija,raskid/tuga,pozitivno,negativno,"praznično praštanje, unutrašnji mir, milosrđe","gubitak, sudbina, osamljenost, nostalgija"
d63e5aa70488,Ivana Banfić,"Kad ti kažem, mali",tranzicija,pop,hedonizam/provod,ljubav,pozitivno,negativno,živi u trenutku,"bol od neuzvrćene ljubavi, razočaranje, putovanje kao bekstvo"
c7f287cd04c3,Dino Merlin,Ostat će istine dvije (kao nikada prije),tranzicija,pop,raskid/tuga,ljubav,mešano,negativno,"subjektivnost raspada, dve strane priče, nerazumevanje","bol od neispunjene ljubavi, nedostatak razumevanja, tuga"
cefa8f7e9160,Dino Merlin,Uspavanka za Gorana B.,tranzicija,pop,prijateljstvo/porodica,raskid/tuga,mešano,negativno,"prijateljska podrška, saosećanje, slanje mira","nada u oporavak, molba za zaštitom, nostalgija"
a0f992db3347,Colonia,Fjaka,tranzicija,pop,identitet/domovina,hedonizam/provod,pozitivno,negativno,"mediteranski reset, usporenost, život bez stresa","apatija, letargija, bekstvo od problema kroz alkohol"
81aa7b41b430,Dino Merlin,Baska ti,tranzicija,pop,ljubav,raskid/tuga,mešano,negativno,"posebno mesto u srcu, jedinstvenost, autentičnost","prihvatanje prolaznosti, žal za izgubljenim, nemoć pred vremenom"
3343547f0ce7,Colonia,Oduzimaš mi dah,tranzicija,pop,hedonizam/provod,ljubav,mešano,pozitivno,"jake fizičke privlačnosti, gubljenje kontrole, opčinjenost","duboka privrženost, večna ljubav, intenzivna čežnja"
a7a550bd7179,Colonia,Dio nje,tranzicija,pop,ljubav,raskid/tuga,pozitivno,negativno,"pronalaženje sebe, prostranstvo emocija, celovitost","neuzajamljena ljubav, bolna spoznaja, besmislenost nada"
db909c3e3180,Indira Radić,Suze moje,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"jedini svedok bola, nagomilani teret, izlaz","nerekvitovana ljubav, patnja, tajnost osjećanja"
1851b82c5780,Aca Lukas,Dijabolik,tranzicija,turbo_folk,hedonizam/provod,raskid/tuga,mešano,negativno,"mračni stil života, samouništenje, rizik","samouništavanje, alkoholizam kao bekstvo, samopreispitivanje"
902b096bc30d,Indira Radić,"Uzmi, sve mi uzmi",tranzicija,turbo_folk,ljubav,raskid/tuga,mešano,negativno,"bezrezervna predaja, spreman poraz","patnja od izdaje, beznadežnost, suicidalne misli"
9d8364ebb8c6,Dragan Kojić Keba,Sve si rane izlečila,tranzicija,turbo_folk,ljubav,raskid/tuga,pozitivno,negativno,"lekovita ljubav, zaceljivanje ožiljaka, novi početak","vernost, nerekvitirana ljubav, tragedija ljubavi"
3bbb6a68b8bf,Svetlana Ceca Ražnatović,"Neodoljiv, neumoljiv",tranzicija,turbo_folk,hedonizam/provod,raskid/tuga,mešano,negativno,"opasna emotivna zamka, svesni rizik, nemilosrdnost","bol ljubavi, samoubilačka privlačnost, patnja od nemogućnosti zaboravljanja"
bf573df32ac9,Indira Radić,Ima nešto,tranzicija,turbo_folk,ljubav,raskid/tuga,mešano,negativno,"magnetna hemija, neobjašnjiva spona, nemir","nesigurnost, patnja skrivena iza maske, pokušaj da se razume boli drugoga"
66f4a2d418df,Dragana Mirković,S vremena na vreme,tranzicija,turbo_folk,prijateljstvo/porodica,raskid/tuga,pozitivno,negativno,"čuvanje bliskosti, dragoceni susreti, obnovljena energija","nostalgija, bol od rastanka, nada u uspomene"
1f771dd7a6d1,Seka Aleksić,Ja tuđe usne ljubim,tranzicija,turbo_folk,raskid/tuga,ljubav,pozitivno,negativno,"neuspešna uteha, zarobljeno srce, promašaj","vernost uprkos bolu, patnja od neobjavljene ljubavi, žrtva"
30388e248f0c,Aca Lukas,Udari prva,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,mešano,"prekid neizvesnosti, prkos, konačni udarac","odanost, žrtva, prihvatanje bola, bezuslovna podrška"
27f835b20fdf,Indira Radić,Moja će te ljubav stići,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,mešano,"griža savesti, kasno pokajanje, emotivni krug","upornost u ljubavi, nada, upozorenje pred iluzijom"
422d5c2b952f,Aca Lukas,Lešće,tranzicija,turbo_folk,ostalo,ljubav,negativno,mešano,"suočavanje sa smrtnošću, nepovratan gubitak, prolaznost","nostalgija, tuga za izgubljenom ljubavlju, reminiscencija"
9ef837302caf,Dragana Mirković,Od kad sam se u tebe zaljubila,tranzicija,turbo_folk,ljubav,raskid/tuga,pozitivno,negativno,"transformacija sveta, radost života, nova perspektiva","samopriznanje greške, boli od izdaje, gubitak vere"
f4394dc44cd9,Svetlana Ceca Ražnatović,Ako te ona odbije,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"utešna opcija, sporedna uloga, pritajena nada","bezuslovna žrtva, nerealizovana ljubav, tuга"
0694b7b3219a,Seka Aleksić,Rođena da budem druga,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"ukleta uloga tajne žene, patnja u senki, pomirenje","samopouzdanje, prihvatanje uloge, tuga od neizvesnosti"
024fb8a80747,Dragana Mirković,Mamina i tatina,tranzicija,turbo_folk,politika/društvo,ljubav,mešano,pozitivno,"razmaženost, sukob klasa, nespremnost za život","zauvek, predanost, ispunjenje sudbine"
93ff5c5b4623,Seka Aleksić,Poslednji let,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"konačni odlazak, sagorevanje poslednje šanse, rez","neizvesnost ljubavi, prihvatanje sudbine, samoća"
0cf12255beb2,Aca Lukas,Pevaj mi o njoj,tranzicija,turbo_folk,raskid/tuga,ljubav,pozitivno,negativno,"ventil za tugu, naručivanje pesama, nostalgija","nostalgija, tuga, utešta kroz pesmu, vernost prijateljstvu"
0005b6e5453d,Dragana Mirković,Pitam svoje srce,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"usamljenost, čežnja, praznina, nemogućnost zaborava","osamljenost, tuga zbog odsutnosti voljene osobe, nostalgia"
be5f0f23a2eb,Aca Lukas,"Ne slušaj, majko",tranzicija,turbo_folk,raskid/tuga,prijateljstvo/porodica,negativno,mešano,"poricanje, tuga, uteha, majčinska briga","zaštita majke od tuge, buntovništvo prema sudu okoline, unutrašnja sreća unatoč negativnoj percepciji"
8ec58ae5c7ae,Indira Radić,Kiša,tranzicija,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"bol, preljuba, patnja, beznadežna bliskost","tajnost, čežnja, bol od nedostižnosti"
