song_id,artist,title,period,genre,dominant_topic,topic_probability
cfbd5bfa7a6d,Bijelo dugme,"Hotel, motel",sfrj,rok,0,0.722
dbd57088f681,Bijelo dugme,I kad sve prođe pjevaću i tad,sfrj,rok,1,0.428
43ded39cbfc6,Bijelo dugme,Ima neka tajna veza,sfrj,rok,0,0.581
b51cb3ff773b,Bijelo dugme,"Ipak, poželim neko pismo",sfrj,rok,0,0.296
a48a0d2e7a53,Bijelo dugme,Izgledala je malo čudno u kaputu žutom krojenom bez veze,sfrj,rok,6,0.274
5d7e82bf247f,Bijelo dugme,Jer kad ostariš,sfrj,rok,8,0.279
3063d24baa30,Bijelo dugme,Kad bi bio bijelo dugme,sfrj,rok,6,0.372
00ee267d4bec,Bijelo dugme,Kad zaboraviš Juli,sfrj,rok,0,0.379
a8a91fc7db0f,Bijelo dugme,Kosovska,sfrj,rok,2,0.61
42bf7511e533,Bijelo dugme,Kosovska (hoću da budeš najsvjetlija) (prijevod),sfrj,rok,5,0.258
122f9cd1ab91,Bijelo dugme,"Laku noć, svirači (with Željko Bebek)",sfrj,rok,2,0.318
5c231c0ff6b3,Bijelo dugme,Lijepa naša,sfrj,rok,0,0.431
ef4251889d38,Bijelo dugme,Lipe cvatu (sve je isto k’o i lani),sfrj,rok,3,0.29
554325d7974d,Bijelo dugme,Loše vino,sfrj,rok,2,0.426
002af0b7524f,Bijelo dugme,Meni se ne spava,sfrj,rok,8,0.442
700d8d50c55b,Bijelo dugme,Milicija trenira strogoću,sfrj,rok,1,0.761
0028c74d6419,Bijelo dugme,Milovan,sfrj,rok,8,0.313
5cf3b8cb1a9a,Bijelo dugme,Mogla je biti prosta priča,sfrj,rok,6,0.476
6eaf3bc90549,Bijelo dugme,"Mramor, kamen i željezo",sfrj,rok,8,0.524
31788e890c55,Bijelo dugme,Na zadnjem sjedištu moga auta,sfrj,rok,7,0.559
238ade43625b,Bijelo dugme,Nakon svih ovih godina,sfrj,rok,3,0.418
bc75de0c2e75,Bijelo dugme,Napile se ulice,sfrj,rok,0,0.623
ff40ac837eb8,Bijelo dugme,Ne dese se takve stvari pravom muškarcu,sfrj,rok,5,0.324
74aa098a7701,Bijelo dugme,Ne gledaj me tako i ne ljubi me više,sfrj,rok,0,0.239
696002500a79,Bijelo dugme,Ne spavaj mala moja muzika dok svira,sfrj,rok,7,0.279
9e08b0cee496,Bijelo dugme,Neću to na brzaka,sfrj,rok,0,0.377
46825b4c569b,Bijelo dugme,Ništa mudro,sfrj,rok,0,0.315
8b928db29d4d,Bijelo dugme,Noćas je k’o lubenica pun mjesec iznad Bosne,sfrj,rok,8,0.552
f5e64461df96,Bijelo dugme,Odlikaši,sfrj,rok,7,0.637
bf2826b6943a,Bijelo dugme,Oprosti mi što te volim,sfrj,rok,8,0.536
1c6ba84650df,Bijelo dugme,Ovaj ples dame biraju,sfrj,rok,6,0.251
34cafca4d273,Bijelo dugme,Ove ću noći naći blues,sfrj,rok,0,0.53
f4e492853d0a,Bijelo dugme,Padaju zvijezde,sfrj,rok,8,0.471
e054ccd6bed4,Bijelo dugme,Patim evo deset dana,sfrj,rok,1,0.369
ac4b119140a4,Bijelo dugme,Pediculis pubis,sfrj,rok,9,0.261
bc0e870da7e9,Bijelo dugme,Pjesma mom mlađem bratu (iz Niša u proljeće `78),sfrj,rok,7,0.364
3cb98a2c2a76,Bijelo dugme,Pjesma za malu pticu,sfrj,rok,0,0.472
d8b72653d9a0,Bijelo dugme,Pljuni i zapjevaj moja Jugoslavijo,sfrj,rok,0,0.454
1c8f8578fff1,Bijelo dugme,Polubauk polukruži poluevropom,sfrj,rok,3,0.523
dbb16cedadec,Bijelo dugme,Požurite konji moji,sfrj,rok,0,0.649
edea4770e26d,Bijelo dugme,Pravim budalu od sebe,sfrj,rok,8,0.432
ee749bfa002b,Bijelo dugme,Pristao sam bi’ću sve što hoće,sfrj,rok,0,0.404
dd09446cf5f5,Bijelo dugme,Ružica si bila,sfrj,rok,0,0.688
731cea7a8e2c,Bijelo dugme,Sanjao sam noćas da te nemam,sfrj,rok,0,0.435
27d4cb995b32,Bijelo dugme,Selma,sfrj,rok,8,0.358
42473d74ebbd,Bijelo dugme,Slatko li je curu ljubit tajno,sfrj,rok,8,0.285
c25f4d205e64,Bijelo dugme,Šta bi dao da si na mom mjestu,sfrj,rok,7,0.398
8bffedae1c14,Bijelo dugme,Šta je tu je,sfrj,rok,9,0.444
edc1c5b76d78,Bijelo dugme,"Sve će to, o mila moja, prekriti ruzmarin snjegovi i šaš",sfrj,rok,0,0.436
950dc7ed4c3d,Bijelo dugme,Sve ću da ti dam samo da zaigram,sfrj,rok,2,0.337
562403f0ccd6,Bijelo dugme,Sve ove godine,sfrj,rok,0,0.461
8c7e30fdaa9a,Bijelo dugme,Svi marš na ples,sfrj,rok,2,0.721
0297bd61f893,Bijelo dugme,"Tako ti je mala moja, kad ljubi Bosanac",sfrj,rok,9,0.375
fc404e31058f,Bijelo dugme,"Te noći kad umrem, kad odem, kad me ne bude",sfrj,rok,5,0.396
9d05048213ec,Bijelo dugme,Top,sfrj,rok,7,0.631
36f0ae024c5c,Bijelo dugme,Tramvaj kreće (kako biti heroj u ova šugava vremena),sfrj,rok,0,0.365
c8006c54eb24,Bijelo dugme,U subotu mala,sfrj,rok,6,0.391
18e48aab5ddd,Bijelo dugme,U vrijeme otkazanih letova,sfrj,rok,0,0.394
faf74110e8a3,Bijelo dugme,Za Esmu,sfrj,rok,0,0.626
b413a3806ac1,Bijelo dugme,Zamisli,sfrj,rok,7,0.321
1c624119579a,Bijelo dugme,Zar ne vidiš da pravim budalu od sebe,sfrj,rok,8,0.51
9978f89e92b5,Bijelo dugme,Zašto me ne podnosi tvoj tata,sfrj,rok,9,0.329
d100f237388a,Bijelo dugme,Zažmiri i broj,sfrj,rok,7,0.484
2ea7a2b4a9f3,Bijelo dugme,Žuta ruža,sfrj,rok,0,0.951
e67867955e59,Divlje jagode,Autostop,sfrj,rok,7,0.412
0b954bde6b3e,Divlje jagode,Bit će bolje,sfrj,rok,7,0.572
173ff15280b8,Divlje jagode,Bubi,sfrj,rok,6,0.576
45d2c006237b,Divlje jagode,Čarobnjaci,sfrj,rok,4,0.378
29eafa56c885,Divlje jagode,Čekam da sunce zađe,sfrj,rok,0,0.745
0c719893bdc4,Divlje jagode,Ciganka,sfrj,rok,8,0.489
6b9fbe546b8a,Divlje jagode,"Cmokni me, srce",sfrj,rok,6,0.258
ce422823ab48,Divlje jagode,Da li si ikada mene voljela,sfrj,rok,0,0.278
53041eb32d22,Divlje jagode,Davno ljeto ’89,sfrj,rok,0,0.598
282313fa5419,Divlje jagode,Dinamit,sfrj,rok,7,0.474
e10de0d16406,Divlje jagode,Divljakuša,sfrj,rok,0,0.607
dbe917636f06,Divlje jagode,Divlje jagode,sfrj,rok,0,0.968
0a0ce4ff2e82,Divlje jagode,Divlji zapad,sfrj,rok,0,0.369
267076457888,Divlje jagode,"Dobro došla, ljubavi",sfrj,rok,3,0.471
17513bd457dc,Divlje jagode,Dodirni me,sfrj,rok,6,0.331
8203ba855e8c,Divlje jagode,"Dodirni me, skloni bol",sfrj,rok,0,0.422
ce22ffe94fb2,Divlje jagode,Đavolji grad,sfrj,rok,0,0.488
93ceba1efd0c,Divlje jagode,Hopa cupa,sfrj,rok,7,0.426
66a2a9430f0a,Divlje jagode,Jedina moja,sfrj,rok,0,0.685
ae9d64129c12,Divlje jagode,Kako si topla i mila,sfrj,rok,0,0.372
93781680ffc5,Divlje jagode,Kap po kap,sfrj,rok,0,0.413
485361a7e750,Divlje jagode,Konji,sfrj,rok,0,0.623
471ba134fb18,Divlje jagode,Krivo je more,sfrj,rok,0,0.5
2a3539eb1003,Divlje jagode,Labude kad rata ne bude,sfrj,rok,0,0.456
9109df8f7948,Divlje jagode,Lejla,sfrj,rok,7,0.417
8b5c905162f8,Divlje jagode,Let na drugi svijet,sfrj,rok,0,0.7
7eb40522708d,Divlje jagode,Ljubav može sve,sfrj,rok,5,0.357
698b36f66ccf,Divlje jagode,London,sfrj,rok,0,0.408
ed4894bea0e9,Divlje jagode,Marija,sfrj,rok,0,0.496
46fda59dbe0a,Divlje jagode,"Meni je lijepo, ja volim slijepo",sfrj,rok,8,0.342
a3cc72658cec,Divlje jagode,Metalni radnici,sfrj,rok,8,0.388
c39529a13b2f,Divlje jagode,Moj dilbere,sfrj,rok,0,0.762
9095c837b331,Divlje jagode,Moja si,sfrj,rok,0,0.439
41741245b7bf,Divlje jagode,Mojoj ljubavi,sfrj,rok,0,0.881
c868829e2a41,Divlje jagode,Morison,sfrj,rok,5,0.463
6f9054935795,Divlje jagode,Motori,sfrj,rok,8,0.393
023a16e392fb,Divlje jagode,Mrak za dvoje,sfrj,rok,7,0.427
e45f248f5021,Divlje jagode,Nasmiješi se,sfrj,rok,0,0.423
57ec5403fb66,Divlje jagode,Nazovi me,sfrj,rok,7,0.289
d24ac152fea3,Divlje jagode,Ne brini sestro,sfrj,rok,3,0.26
7c71ef62ea87,Divlje jagode,Ne želiš kraj,sfrj,rok,3,0.287
45911bc4109b,Divlje jagode,Obuci se,sfrj,rok,3,0.434
c296eed502c4,Divlje jagode,"Osjećam, gola si ispod haljine",sfrj,rok,0,0.33
45191887f65c,Divlje jagode,Pepeljuga,sfrj,rok,6,0.348
0345037e608d,Divlje jagode,Piši mi,sfrj,rok,9,0.444
9d1ea62365b4,Divlje jagode,Potraži put,sfrj,rok,0,0.66
fad76ba2709a,Divlje jagode,Sama si,sfrj,rok,0,0.372
340340a6587d,Divlje jagode,Samo tren,sfrj,rok,8,0.421
a80588114bb3,Divlje jagode,Šampioni,sfrj,rok,7,0.483
ee3182045d8c,Divlje jagode,"Sarajevo, ti i ja",sfrj,rok,0,0.5
c3ab771d5e4a,Divlje jagode,Šejla,sfrj,rok,0,0.897
38a8a18efd07,Divlje jagode,Sjećanja,sfrj,rok,0,0.629
d3bad12e53c5,Divlje jagode,Šta je to u tebi,sfrj,rok,7,0.223
d514bc7656a7,Divlje jagode,Sto vijekova,sfrj,rok,0,0.503
f9f04766fcb2,Divlje jagode,Sve iz inata,sfrj,rok,7,0.244
5d3247802935,Divlje jagode,Svi nisu kao ja,sfrj,rok,7,0.354
4d793bb9c42f,Divlje jagode,Ti si moj san,sfrj,rok,0,0.556
36ffea9af25e,Divlje jagode,To je sve,sfrj,rok,1,0.45
abc1071de594,Divlje jagode,Vatra,sfrj,rok,0,0.424
382342dbd578,Divlje jagode,Vodarica,sfrj,rok,0,0.553
608031da0cc8,Divlje jagode,Zagrizi rock ‘n’ roll,sfrj,rok,3,0.529
8c8d584953be,Divlje jagode,Zauvijek tvoj,sfrj,rok,0,0.413
9ed73ae68d23,Divlje jagode,Zbog tebe draga,sfrj,rok,0,0.61
9294ba8da159,Divlje jagode,Želim da te imam,sfrj,rok,1,0.373
dc23305ae439,Divlje jagode,Zvijezda sjevera,sfrj,rok,8,0.659
cbcb13f84e17,Parni valjak,A gdje je ljubav?,sfrj,rok,4,0.351
82c702c7ca97,Parni valjak,A ja bih sa vragom sklopio savez,sfrj,rok,0,0.382
ee316b83558d,Parni valjak,Ajde igraj,sfrj,rok,2,0.469
f290eb3b4bc9,Parni valjak,Ako želim,sfrj,rok,9,0.507
6a6a2481459d,Parni valjak,Anđeli se dosađuju,sfrj,rok,0,0.32
806ca3640e55,Parni valjak,Anja,sfrj,rok,6,0.446
fe186e7a4291,Parni valjak,Autoput,sfrj,rok,7,0.25
3b259356a348,Parni valjak,Bijeg,sfrj,rok,0,0.712
4aa5b25ee170,Parni valjak,Bolja vremena,sfrj,rok,1,0.505
6b24ee234624,Parni valjak,Čitaj mi sa usana,sfrj,rok,0,0.354
98725f1bc83d,Parni valjak,Crni dani,sfrj,rok,0,0.478
6432c61059e0,Parni valjak,Depra,sfrj,rok,1,0.35
1bc21e468601,Parni valjak,Direktan put za nebo,sfrj,rok,0,0.438
596b0cf42597,Parni valjak,Dixie za pravog gazdu,sfrj,rok,3,0.237
0433cffc527d,Parni valjak,Dođi,sfrj,rok,0,0.788
5b1f19640542,Parni valjak,Dok je tebe,sfrj,rok,0,0.366
7eb572c4883d,Parni valjak,Dosta,sfrj,rok,0,0.689
752994aef345,Parni valjak,Gledam je dok spava,sfrj,rok,1,0.297
e2d26773a2ba,Parni valjak,Godine prolaze,sfrj,rok,0,0.366
81cdf6583b92,Parni valjak,Hvala ti,sfrj,rok,5,0.307
59e460957fa0,Parni valjak,Ima dana,sfrj,rok,0,0.572
e76603b21d4d,Parni valjak,Ivana,sfrj,rok,0,0.382
b9f0a7862718,Parni valjak,Ja još čekam,sfrj,rok,7,0.297
60c276fb051e,Parni valjak,Jesen u meni,sfrj,rok,0,0.465
b8490fd05d3b,Parni valjak,Kada kola krenu nizbrdo,sfrj,rok,0,0.292
e73417eff4b6,Parni valjak,Kada me dotakne,sfrj,rok,0,0.636
91a5435ac866,Parni valjak,Kao prije,sfrj,rok,0,0.396
5cdd63e41916,Parni valjak,Kao ti,sfrj,rok,0,0.434
5bab4dc32dcb,Parni valjak,Kaži ja,sfrj,rok,7,0.281
923b2ef8d224,Parni valjak,Kemija,sfrj,rok,5,0.221
c434f232102e,Parni valjak,Ljubavna,sfrj,rok,0,0.391
ff6bd236513d,Parni valjak,Lutka za bal,sfrj,rok,0,0.293
2d38275899bb,Parni valjak,Lutrija,sfrj,rok,3,0.473
da697148eb1d,Parni valjak,Ma ‘ajde (gledaj stvari mojim očima),sfrj,rok,7,0.322
3dcbe624785d,Parni valjak,Mala laž,sfrj,rok,1,0.32
b5edfc269a1b,Parni valjak,Mijenjam se,sfrj,rok,7,0.63
92ed75aac9de,Parni valjak,Mir na jastuku,sfrj,rok,5,0.44
f68854663c78,Parni valjak,Moja je pjesma lagana,sfrj,rok,0,0.447
178d8ef60f8c,Parni valjak,Moje dnevne paranoje,sfrj,rok,7,0.325
48699d58c852,Parni valjak,Molitva,sfrj,rok,0,0.405
15ac8e53eab6,Parni valjak,Ne zovi,sfrj,rok,1,0.365
68b6f348f700,Parni valjak,Neda,sfrj,rok,3,0.455
3b15460afc7e,Parni valjak,Nemirno more,sfrj,rok,3,0.326
80530c38b080,Parni valjak,Oba lica ljubavi,sfrj,rok,5,0.552
c431e5d8f6b6,Parni valjak,Ona je tako prokleto mlada,sfrj,rok,7,0.375
f5b339aac81a,Parni valjak,Ostavljam trag,sfrj,rok,7,0.434
e080cd9e833a,Parni valjak,Otok,sfrj,rok,0,0.365
32f9342fda33,Parni valjak,Pariz,sfrj,rok,0,0.436
6bdb98d49a02,Parni valjak,Povratak ratnika,sfrj,rok,8,0.371
32c59897781d,Parni valjak,Prokleta nedjelja,sfrj,rok,0,0.49
25d5b4d8ae7c,Parni valjak,Pusti nek’ traje,sfrj,rok,0,0.533
094e76e5ecf9,Parni valjak,Romansa (sada bih drugačije),sfrj,rok,8,0.479
9ac078ac2b29,Parni valjak,Sai-Baba blues,sfrj,rok,7,0.312
16192b3cb20c,Parni valjak,Samo san,sfrj,rok,0,0.496
c0e082d7ff80,Parni valjak,Samo sjećanja,sfrj,rok,7,0.614
6ea4f0ab7f59,Parni valjak,Sanjam,sfrj,rok,3,0.333
299f4a9acd9e,Parni valjak,Sedamsto milja od kuće,sfrj,rok,0,0.367
d07681bbd833,Parni valjak,Sjaj u očima,sfrj,rok,7,0.309
2dcfb612954c,Parni valjak,Sjećanja,sfrj,rok,0,0.629
9633faa01565,Parni valjak,Staška,sfrj,rok,1,0.411
dc21bd08790a,Parni valjak,Stranica dnevnika,sfrj,rok,0,0.345
1dc0f5440e6f,Parni valjak,Suzama se vatre ne gase,sfrj,rok,0,0.25
5b64929a4ed0,Parni valjak,Sve još miriše na nju,sfrj,rok,0,0.367
e90e2223fb0a,Parni valjak,To nije političan song,sfrj,rok,5,0.28
0ad712e604f7,Parni valjak,Tvoji koraci,sfrj,rok,0,0.352
21237575911b,Parni valjak,U ljubav vjerujem,sfrj,rok,7,0.21
282092b61d3d,Parni valjak,U prolazu,sfrj,rok,9,0.379
92b04a93236b,Parni valjak,Uhvati ritam,sfrj,rok,0,0.419
f4896b909a95,Parni valjak,Večeras trebam društvo,sfrj,rok,0,0.318
4efc9f735d2c,Parni valjak,Vrijeme ljubavi,sfrj,rok,1,0.285
d2abcf5e925f,Parni valjak,Za ljubav treba imat dušu,sfrj,rok,0,0.702
48418301485a,Parni valjak,Zagreb ima isti pozivni,sfrj,rok,0,0.581
bba2b971e3ea,Parni valjak,Zapjevaj,sfrj,rok,0,0.421
8ba197c744ae,Parni valjak,Zapleši sa mnom ove noći,sfrj,rok,0,0.421
4d63bc36731b,Parni valjak,Zastave,sfrj,rok,0,0.466
ed5918c413c2,Parni valjak,Zvijezda sjevera,sfrj,rok,8,0.659
80d9f54b2dbc,Prljavo kazalište,449 (Četiri četiri devet – Svaki put kad odlaziš),sfrj,rok,0,0.444
d94b34ed4c74,Prljavo kazalište,A ti idi,sfrj,rok,0,0.517
cca0ed853d8d,Prljavo kazalište,Ako odlučiš,sfrj,rok,3,0.736
148229aca5ea,Prljavo kazalište,Ako tražiš nekoga,sfrj,rok,0,0.396
7b7b5e4df746,Prljavo kazalište,Anarhist,sfrj,rok,0,0.381
269675e7663b,Prljavo kazalište,Beznadežni slučaj,sfrj,rok,1,0.594
da5a45a4a6a9,Prljavo kazalište,Bježi ptico od mene,sfrj,rok,8,0.612
5b40a04786f4,Prljavo kazalište,Brane srušit ću sve,sfrj,rok,5,0.448
d718b469e9db,Prljavo kazalište,Budala malena,sfrj,rok,1,0.365
e812d631b142,Prljavo kazalište,Buntovnik bez razloga,sfrj,rok,2,0.598
040e4fd6261d,Prljavo kazalište,Crno-bijeli svijet,sfrj,rok,0,0.43
9864727abf3f,Prljavo kazalište,Dan za danom,sfrj,rok,7,0.638
69f983a7253e,Prljavo kazalište,Devedeseta,sfrj,rok,3,0.423
acdeca52fd83,Prljavo kazalište,Djevojka od milijun dolara,sfrj,rok,2,0.455
b5dd8bee788a,Prljavo kazalište,Dobar vjetar u leđa,sfrj,rok,1,0.302
c8f037904760,Prljavo kazalište,"Dobro jutro, šezdeset osmaši",sfrj,rok,7,0.381
5b62d244edf9,Prljavo kazalište,"Dođi sada, Gospode",sfrj,rok,0,0.364
b9038d1aaa59,Prljavo kazalište,Drugovima ja ne vjerujem,sfrj,rok,6,0.681
cf7252f9f953,Prljavo kazalište,Evo putujem,sfrj,rok,0,0.568
928f3e52783f,Prljavo kazalište,Groblje slonova,sfrj,rok,6,0.479
fad47335f8f8,Prljavo kazalište,Heroj ulice,sfrj,rok,1,0.503
af3917f69d4b,Prljavo kazalište,Iz nekih starih razloga,sfrj,rok,0,0.411
7e641510daeb,Prljavo kazalište,Kad si mlad,sfrj,rok,1,0.362
1170a8be6ec6,Prljavo kazalište,Kao ja da poludiš,sfrj,rok,0,0.288
46af8ad0a1a3,Prljavo kazalište,Kiše jesenje,sfrj,rok,2,0.361
7cbec0712d2f,Prljavo kazalište,Korak od sna,sfrj,rok,5,0.247
0c9cfd17238e,Prljavo kazalište,Korak po korak,sfrj,rok,5,0.711
f67a5d90ecd9,Prljavo kazalište,"Laku noć, tebi, Zagrebe",sfrj,rok,9,0.28
33e4a54b417c,Prljavo kazalište,Ljubav je,sfrj,rok,0,0.379
416da7279200,Prljavo kazalište,Lupi petama,sfrj,rok,0,0.871
d0b29f64357d,Prljavo kazalište,Ma kog me boga za tebe pitaju,sfrj,rok,8,0.432
4b53d31166fe,Prljavo kazalište,Marina,sfrj,rok,8,0.681
2b7f630854e1,Prljavo kazalište,Mi pijemo,sfrj,rok,0,0.438
10d09f6cd9c5,Prljavo kazalište,Mi plešemo,sfrj,rok,0,0.414
1ddfaef448ee,Prljavo kazalište,Mi smo svijeta dva,sfrj,rok,0,0.431
fd368e5bfdd5,Prljavo kazalište,Moj bijeli labude,sfrj,rok,0,0.561
b02536f91ddc,Prljavo kazalište,Moj dom je Hrvatska,sfrj,rok,0,0.551
a74a850bf51e,Prljavo kazalište,Mojoj majci (ružo hrvatska),sfrj,rok,0,0.696
9831a258dbd7,Prljavo kazalište,Na Badnje veče,sfrj,rok,0,0.324
759ac435ca17,Prljavo kazalište,Na živce ide mi,sfrj,rok,6,0.401
9a54b0088250,Prljavo kazalište,Ne bih te zatajio,sfrj,rok,8,0.457
25d2301a8e21,Prljavo kazalište,Ne zovi mama doktora,sfrj,rok,1,0.365
93220b479a8b,Prljavo kazalište,Nebo zvjezdano,sfrj,rok,0,0.243
0a6acdfdb698,Prljavo kazalište,Neki dječaci,sfrj,rok,2,0.292
5b2231ca4e41,Prljavo kazalište,Nemoj mislit da se izvlačim,sfrj,rok,0,0.34
4671fab125d5,Prljavo kazalište,Nisam bio za tebe,sfrj,rok,7,0.449
bebca7a397ed,Prljavo kazalište,Nisam ja od pamuka,sfrj,rok,0,0.697
a0bf7a1fa12e,Prljavo kazalište,Nove cipele,sfrj,rok,7,0.353
c11fd8c29409,Prljavo kazalište,Od sveg zla,sfrj,rok,0,0.303
63aafc9f83d7,Prljavo kazalište,Ona nema vremena,sfrj,rok,0,0.379
866d31505f4d,Prljavo kazalište,Oprostio mi Bog,sfrj,rok,0,0.411
ac570b8ec180,Prljavo kazalište,Pet dana ratujem,sfrj,rok,1,0.431
6bb756a089d4,Prljavo kazalište,Pisma ljubavna,sfrj,rok,0,0.458
ef5915963a37,Prljavo kazalište,Pod sretnom zvijezdom mi smo rođeni,sfrj,rok,0,0.263
2cfe20b18d22,Prljavo kazalište,Previše suza u mom pivu,sfrj,rok,0,0.453
e1853687ebca,Prljavo kazalište,Prisluškuju nas susjedi,sfrj,rok,1,0.648
2914f3273c7e,Prljavo kazalište,Ptico malena,sfrj,rok,8,0.345
d0d004fea1b8,Prljavo kazalište,Radio dubrava,sfrj,rok,1,0.592
a07b846377b6,Prljavo kazalište,S vremena na vrijeme,sfrj,rok,0,0.384
90039c401364,Prljavo kazalište,Sam,sfrj,rok,0,0.673
0158b9bb8b0b,Prljavo kazalište,Sanja,sfrj,rok,0,0.566
8818828d9d00,Prljavo kazalište,Široke ulice,sfrj,rok,5,0.364
a9945ecec623,Prljavo kazalište,Skočit ću,sfrj,rok,4,0.384
6c4c158c61c3,Prljavo kazalište,Slaži mi,sfrj,rok,6,0.411
089e80362e1f,Prljavo kazalište,Smeđi šećeru,sfrj,rok,9,0.376
95d86b55fbc8,Prljavo kazalište,Sretan Božić,sfrj,rok,5,0.384
be4bb86dd973,Prljavo kazalište,Šteta što je kurva,sfrj,rok,2,0.571
46285b1dfca2,Prljavo kazalište,Stoljeće il’ dva,sfrj,rok,1,0.589
df061119a040,Prljavo kazalište,Strah od letenja,sfrj,rok,6,0.355
1cb419f914f2,Prljavo kazalište,Sve je lako kad si mlad,sfrj,rok,8,0.465
ded6b592f18c,Prljavo kazalište,Tamo imam prijatelje,sfrj,rok,2,0.304
efab85ee31ef,Prljavo kazalište,Tu noć kad si se udavala,sfrj,rok,0,0.47
f497bc428727,Prljavo kazalište,Uzalud vam trud svirači,sfrj,rok,0,0.315
aab65dfd28b2,Prljavo kazalište,Vlakovi,sfrj,rok,6,0.421
10626f0ee730,Prljavo kazalište,Vrijeme (sporo prolazi),sfrj,rok,2,0.322
4d4947fae9ad,Prljavo kazalište,Zaustavite zemlju,sfrj,rok,5,0.521
88c4dab446fb,Prljavo kazalište,"Zbogom dame, zbogom prijatelji",sfrj,rok,0,0.661
b24e3bc5cb4e,YU Grupa,Blok,sfrj,rok,7,0.427
31f47f8ce554,YU Grupa,"Bože, spasi me",sfrj,rok,5,0.446
08ceb416da2c,YU Grupa,Crni leptir,sfrj,rok,8,0.53
f095df11fddc,YU Grupa,Čudna šuma,sfrj,rok,2,0.328
67a304d9fd7b,YU Grupa,Dunave,sfrj,rok,0,0.696
15f7d3539fc2,YU Grupa,Dunavom još šibaju vetrovi,sfrj,rok,0,0.38
7f2f464bdc4f,YU Grupa,Duša peva,sfrj,rok,0,0.531
d4eba4c901d4,YU Grupa,Galebov let,sfrj,rok,0,0.531
d218253ae6ff,YU Grupa,Gledaj samo pravo,sfrj,rok,0,0.435
f245da6f452e,YU Grupa,"Hej, da me vidiš",sfrj,rok,7,0.277
319019e780f0,YU Grupa,Ima samo jedna stvar,sfrj,rok,0,0.563
63e37847c4fd,YU Grupa,Kosovski božuri,sfrj,rok,8,0.472
bd36b78313b1,YU Grupa,"Moravo, mi smo uz Tita",sfrj,rok,7,0.581
6f4f1dd9e768,YU Grupa,More,sfrj,rok,0,0.623
5830faa4bf81,YU Grupa,Mornar,sfrj,rok,1,0.275
b57657c921ec,YU Grupa,Ne zovi,sfrj,rok,1,0.416
ad433350109a,YU Grupa,Nona,sfrj,rok,4,0.444
63150b3440a1,YU Grupa,Od zlata jabuka,sfrj,rok,0,0.396
82e08c597a30,YU Grupa,Odlazim,sfrj,rok,0,0.353
11032db4c15f,YU Grupa,Opasno,sfrj,rok,0,0.753
c4bc0dc6d8e1,YU Grupa,Osveta,sfrj,rok,5,0.525
