song_id,artist,title,period,genre,llm_theme,llm_emotion,llm_values,error
6276273ea3e4,Nina Badrić,Ti si mene (with Dino Merlin),savremeno,pop,ljubav,mešano,"predanost uprkos boljim opcijama, sudbina, neizbežnost osećanja",
be12851d2242,Dado Polumenta,Od vina si me opila,savremeno,pop,ljubav,negativno,"iluzija i samozapanjenje u ljubavi, moralna ambivalencija, svest o laži",
11f6c76e9f41,Severina,Imam novog dečka,savremeno,pop,ljubav,pozitivno,"strast, samopouzdanje, nezavisnost, seduction",
848e03201226,Jelena Rozga,Ja znam dobro što mi je,savremeno,pop,ljubav,negativno,"čežnja, nostalgia, emotivna zavisnost",
b3b22d156e95,Karolina Gočeva,Ljubav ispod oblaka,savremeno,pop,ljubav,mešano,"oslobođenje, samootkrivanje, bežanje od stvarnosti",
dcdedd9bf786,Severina,Ne spavaj mala moja,savremeno,pop,hedonizam/provod,pozitivno,"buntovništvo, mladalačka sloboda, izazivanje autoriteta",
1f13b4cd3f54,Severina,Bojate bane buski,savremeno,pop,ljubav,pozitivno,"predanost, nežnost, večita ljubav",
5efd334fe5e1,Dado Polumenta,Ti si bila meni sve,savremeno,pop,raskid/tuga,negativno,"bol od gubitka, prihvatanje neizbežnog, pustanje",
cff3b937d8d8,Karolina Gočeva,Volela sam te,savremeno,pop,raskid/tuga,negativno,"žaljenje, samootkrivenje, neispunjeni potencijal veze",
36afd762c17d,Ana Nikolić,Ljubiti se znamo,savremeno,pop,hedonizam/provod,pozitivno,"uživanje u trenutku, prijateljstvo, sloboda",
48d223f025b2,Nina Badrić,Ja za ljubav neću moliti,savremeno,pop,raskid/tuga,negativno,"prihvatanje raskida, dostojanstvo, samozaštita",
c6b07b3b6dc6,Severina,Ma daj,savremeno,pop,ljubav,pozitivno,"strast, intimnost, privrženost",
945e07d9f84a,Jelena Rozga,Ima nade (with Željko Samardžić),savremeno,pop,raskid/tuga,negativno,"samohvalstvo, iluzija i razočarenje, bolna realnost odnosa",
afa78325ce92,Nina Badrić,Nebo,savremeno,pop,raskid/tuga,negativno,"bol od gubitka, nada unatoč boli, vera u božansku pravdu",
1b8b3260ec07,Senidah,Idi gade,savremeno,trep,ljubav,pozitivno,"svadba, slavlje, bračna radost, tradicija",
75c9018c3962,Dara Bubamara,Ne gledaj me tako,savremeno,turbo_folk,ljubav,negativno,"patnja u ljubavi, očajanje, верност упркос боли",
ea08bc06cdc5,Boban Rajović,Jugoslavijo,savremeno,turbo_folk,identitet/domovina,negativno,"nostalgija, žal za izgubljenim, bola od raspada, patriotizam",
1239d77a3e88,Ivana Selakov,Uradi mi to,savremeno,turbo_folk,ljubav,mešano,"intenzivnost emocija, samoobmana, traganja za istinom u odnosu",
0aa534a6902c,Dara Bubamara,Već sam navikla,savremeno,turbo_folk,raskid/tuga,negativno,"samota, nostalgija, nemogućnost zaboravljanja",
329475f0c0b5,Boban Rajović,Bata,savremeno,turbo_folk,ljubav,mešano,"manipulacija, seksualna privlačnost, dominacija u odnosu",
f1fbd84445cd,Boban Rajović,Koga foliraš,savremeno,turbo_folk,ljubav,pozitivno,"opasnost, manipulacija, posesivnost",
eed63a51e276,Dara Bubamara,Nisam ja dete,savremeno,turbo_folk,raskid/tuga,mešano,"razočarenje, opraštanje, bolna mudrost, završetak",
19b8c51f3447,Boban Rajović,Alkoholna injekcija,savremeno,turbo_folk,raskid/tuga,negativno,"depresija, bekstvo od bola kroz alkohol, samoDestrukcija",
cf380eb7b1db,Boban Rajović,Ruže daješ u pelinu,savremeno,turbo_folk,raskid/tuga,negativno,"bol od izdaje, beznadežnost, želja za prekidom",
9d9d07a5f610,Boban Rajović,Svako traži svoj put,savremeno,turbo_folk,identitet/domovina,negativno,"nostalgija za domom, bratstvo, dubina duše",
37ec1b05f6e2,Dara Bubamara,Izdali smo našu ljubav,savremeno,turbo_folk,raskid/tuga,negativno,"kajanje, izvinjavanje, neizbežnost sudbine, gubitak",
250c0af19b65,Boban Rajović,Papreno,savremeno,turbo_folk,raskid/tuga,negativno,"izdaja, bol, alkoholizam kao beg od bola",
37f039a1b70b,Dara Bubamara,Bludni sine,savremeno,turbo_folk,raskid/tuga,negativno,"opomena za devijantno ponašanje, kontrola, osveta",
cf33d02d6c89,Halid Muslimović,Stranac u svom gradu,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"usamljenost, izgubljenost, isključenost iz zajednice",
c37ef7ac0b9c,Halid Muslimović,"Piši, piši, jarane",sfrj,narodna_narodnjacka,identitet/domovina,negativno,"nostalgija, lojalnost domovini, bratstvo, čuvanje традиције",
c252a60fbbf0,Hanka Paldum,Žena kao žena,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"samopoštovanje, odbacivanje lažnosti, ženski identitet",
db2fe77b6c7e,Hanka Paldum,Srce je moje kamen,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nesreća u ljubavi, nostalgija, nepreboliva bol",
da01098a12c2,Halid Bešlić,Prolaznik,sfrj,narodna_narodnjacka,ljubav,negativno,"prevara, emotivna distanca, ljubomora",
f58b6d1f4258,Halid Muslimović,Čuvaj prvu ljubav,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"żaljenje za prošlošću, pouka o izdaji, ispravljanje greške",
93806bd1216d,Hanka Paldum,Uzalud mi tražiš oproštaj,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nezavisnost, dostojanstvo, prihvatanje gubitka",
929891730b90,Hanka Paldum,Plačem već tri dana,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"čežnja, melanholija, neisplačena bol",
4917cec7c9f9,Miroslav Ilić,Nije život jedna žena,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"pomirenje sa sudbinom, samopouzdanje, prihvatanje gubitka",
53bedc28d311,Šaban Šaulić,Ti si meni i nemoć i moć,sfrj,narodna_narodnjacka,ljubav,mešano,"intenzivna strast, opsesija, paradoks ljubavi",
6787e7528990,Ana Bekuta,Tugo moja crnooka,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"žal za izgubljenom ljubavlju, neizbežnost gubitka, melanholija",
f688c5b62e00,Vesna Zmijanac,Dođi da se družimo,sfrj,narodna_narodnjacka,ljubav,pozitivno,"pomirenje, bliskost, prihvatanje sudbine",
eac7fe106376,Halid Muslimović,Mladost više doći neće,sfrj,narodna_narodnjacka,hedonizam/provod,pozitivno,"životna mudrость, uživanje u trenutku, prijateljstvo, prihvatanje starenja",
47aa80f811fe,Halid Muslimović,Ljube mi se usne tvoje,sfrj,narodna_narodnjacka,ljubav,negativno,"bezuslovna ljubav, nemogućnost napuštanja, zavisan odnos",
0a28250a823f,Halid Muslimović,Prokleti grad,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"izdaja, usamljenost, izgubljena ljubav, tuga",
89948eb0f302,Halid Bešlić,Požuri,sfrj,narodna_narodnjacka,ljubav,pozitivno,"zahvalnost, duboka povezanost, spasenje kroz ljubav",
341f5f4d99bd,Hanka Paldum,Sanjam,sfrj,narodna_narodnjacka,ljubav,pozitivno,"romantic idealism, escapism, eternal love, transcendence through passion",
194bb03fa4dd,Halid Muslimović,Kunem se,sfrj,narodna_narodnjacka,ljubav,negativno,"apsolutna privrženost, nemoć bez voljene osobe",
d2efc415ae29,Halid Bešlić,"Zbogom noći, zbogom zore",sfrj,narodna_narodnjacka,ljubav,pozitivno,"predanost, intenzivna strast, posvećenost partneru",
4f4b203678a6,Halid Bešlić,Pjesme moje,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"muzika kao spasenje, izdržavanje kroz patnju, prihvatanje sudbine",
5868967dc478,Ana Bekuta,Htela sam tebi biti žena,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"žal, bespomoćnost, žrtvovanje ljubavi",
a37d46682227,Hanka Paldum,Ja za tebe nikad nisam bila žena,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"samodostojnost, prihvatanje realnosti, odlučnost",
9004cdde8256,Halid Muslimović,Ona zna,sfrj,narodna_narodnjacka,ljubav,mešano,"intimnost, duboka emotivna povezanost, erotska tenzija",
c639bef77413,Halid Muslimović,Što si sinu dala moje ime,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"dubok bol od gubitka, neispunjene otačinske dužnosti, nostalgija",
11243e6b23e0,Vesna Zmijanac,Idem preko zemlje Srbije,sfrj,narodna_narodnjacka,ljubav,mešano,"bezuslovna vera, utočište u dragoj osobi, prevazilaženje negativnosti",
51f5a640ee53,Mile Kitić,Što si tako zao živote,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"žal nad sudbinom, tuga nad izgubljenom osobom, osuda nepravednosti života",
678de27726a1,Halid Muslimović,Pamtit ćemo ovaj grad,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nostalalgija, zbunjenost, nemoć",
a6095a04d473,Halid Muslimović,Takav sam ja,sfrj,narodna_narodnjacka,ljubav,mešano,"muški hedonizam, bezobzirnost, neizvesnost u odnosu",
696522a1f37f,Ana Bekuta,Na tvoju milost,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"patnja od izgubljene ljubavi, samopresuđivanje, bezuslovna predanost",
6782ebd864d7,Ana Bekuta,Još imaš kad,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"odredbjenost, emancipacija, hlađenje osjećanja",
97459363f66d,Halid Bešlić,Pet godina volio sam tebe,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"izdaja, bolna iskustva, žal za izgubljenom ljubavlju",
69a06369ba10,Halid Muslimović,Nekad si moj saputnik bila,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nostalgia, čežnja, gubitak, melanholia",
a1c4a1d71056,Šaban Šaulić,Sada je svemu kraj,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"prevara, odbacivanje iluzija, dostojanstvo nakon izdaje",
5f923995f619,Halid Bešlić,Zašto je moralo tako da bude,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"žal nad izgubljenom ljubavlju, krivica, beznadežnost",
411680f12940,Halid Muslimović,"Plakao bih, plakao",sfrj,narodna_narodnjacka,raskid/tuga,negativno,"kajanje, nostalgija, žal za izgubljenom ljubavlju",
fd9ea46cf4fd,Halid Bešlić,Nije ljubav vino,sfrj,narodna_narodnjacka,ljubav,mešano,"melanholija, duboka oданост, romantična intenzivnost",
6f104f4bc433,Halid Muslimović,Ti i ja,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nepreslađena ljubav, nostalgija, trajna patnja",
b84a0ac4857f,Ana Bekuta,Umreću na tuđi dan,sfrj,narodna_narodnjacka,ljubav,negativno,"neobjašnjiva sudbina, nemogućnost izbora, tuga zbog izgubljene prilike",
312a510412af,Hanka Paldum,Te su me oči lagale,sfrj,narodna_narodnjacka,ljubav,mešano,"intimnost kroz pogled, izdaja i razočaranje, halucinacija preko pogleda",
6d0032bfddf4,Hanka Paldum,Miris kose,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nostalgija, besmisao bez voljene osobe, priroda kao svedok bola",
1849d159dd63,Halid Muslimović,Učini bar jedan pogrešan korak,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"samospoznaja, žal za izgubljenom ljubavlju, prihvatanje sopstvene prirode",
d08db7b71a86,Halid Bešlić,Ulica uzdaha (duet Luna),sfrj,narodna_narodnjacka,raskid/tuga,negativno,"prihvatanje neizbežnosti raskida, sevdah, nostalgija",
0ce5ba89827d,Halid Muslimović,Reci mi,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nesigurnost, strah od gubitka, duboka vezanost",
4ff9cad1ef5f,Šaban Šaulić,Sanjam ženu s mališanom,sfrj,narodna_narodnjacka,identitet/domovina,negativno,"nostalgia, tuga za domovinom, povezanost sa roditeljstvom",
6e8c0487bceb,Hanka Paldum,Sama,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"napuštenost, beznađe, nesigurnost u ljubavi",
28728480a04e,Halid Bešlić,I zanesen tom ljepotom,sfrj,narodna_narodnjacka,ljubav,pozitivno,"ozdravnjenje kroz ljubav, predanost, preobražaj",
555992f4bc2c,Hanka Paldum,Sarajevo grad,sfrj,narodna_narodnjacka,identitet/domovina,pozitivno,"ponos na domovinu, romanticizacija Sarajeva, ljubav prema gradu",
f5b3fdf68304,Toma Zdravković,Detelina s četiri lista (with Milina Stefanović),sfrj,narodna_narodnjacka,raskid/tuga,negativno,"nostalgija, gubitak, ožalošćenost nad prošlošću",
9a877cf9dfc4,Halid Muslimović,Lažeš sebe,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"prihvatanje sudbine, samosvest u bolu, odbijanje samoobmane",
87b6bb87712d,Halid Bešlić,Budna si,sfrj,narodna_narodnjacka,raskid/tuga,negativno,"osamljenost, nostalgia, gubitak voljene osobe",
310a8d9dfb42,Električni orgazam,Podstanar,sfrj,novi_talas,ostalo,negativno,"unutrašnja borba, neprihvaćenost, skrivanje od porodice",
9086f398ddc5,Električni orgazam,Skloke ploke flonge,sfrj,novi_talas,ostalo,neutralno,"jezička eksperimentacija, besmislenost",
57424ced8b60,Haustor,Ena,sfrj,novi_talas,ljubav,negativno,"neizvesnost, nemogućnost promena, nostalgija, odbijanje zavisnosti",
2547aaf7e8a6,Električni orgazam,Magična ruka,sfrj,novi_talas,ostalo,mešano,"bekstvo od realnosti, pronalaženje mira u prirodi, efemernost",
55c4d9f30e35,Električni orgazam,Tome neće doći kraj,sfrj,novi_talas,ljubav,negativno,"neuspešna ljubav, nerazumevanje, tugu zbog odbijanja",
c9cc41a7042d,Električni orgazam,Oslobodi se (u krugu svetlosti),sfrj,novi_talas,ostalo,pozitivno,"oslobađanje, transformacija, samoispunjenje",
38af22c76c43,Električni orgazam,Ja nisam znao neke stvari,sfrj,novi_talas,ljubav,mešano,"misterija, intimnost, nesigurnost u odnosu",
a64d03ae50da,Električni orgazam,A ti me opet zoveš,sfrj,novi_talas,ljubav,mešano,"nesigurnost, unutrašnja borba, zavisnost",
945c9e8df15a,Električni orgazam,"Hajde, bejbe (daj da vidim sad)",sfrj,novi_talas,raskid/tuga,negativno,"distanca između ljudi, kasna saznanja, neizbežnost raskida",
e2b788b3c44d,Haustor,Donje strane munje,sfrj,novi_talas,identitet/domovina,negativno,"trauma, monotonija zatvorstva, gubitak identiteta",
99d9c8d7dd00,Crvena jabuka,Kad ćeš mi doć,sfrj,pop,ljubav,negativno,"čežnja, očajanje, razluka, nada",
d74a3f894657,Arsen Dedić,Život je more,sfrj,pop,raskid/tuga,negativno,"otpornost u neizvesnosti, borba sa prošlošću, nada uprkos bolovima",
84da4328fe10,Zdravko Čolić,"Pjevam danju, pjevam noću",sfrj,pop,ljubav,pozitivno,"idealizacija voljene osobe, poetski izraz obožavanja",
cf6de1cd4fa3,Tereza Kesovija,Tvoje su ruke u mojoj kosi,sfrj,pop,ljubav,pozitivno,"strast, predanost, živenje u trenutku, romantična idealizacija",
1c31e015871d,Zdravko Čolić,Kuba,sfrj,pop,ljubav,pozitivno,"bezuslovna prihvatanje, oslobađanje, uživanje u ljubavi",
db4aed01cecb,Zdravko Čolić,Tako tiho,sfrj,pop,ostalo,negativno,"usamljenost, tražnja mira, pasivnost, sudbina",
d80640cc4898,Zdravko Čolić,"Ne kunite, ne krivite",sfrj,pop,raskid/tuga,negativno,"samotnja, traženje sreće, oprost i razumevanje, osamljenost",
4579066b8720,Arsen Dedić,Sanjam te,sfrj,pop,ljubav,mešano,"tajnost ljubavi, duševna povezanost, nesumnjiva vernost",
03d81ca08694,Josipa Lisac,Tko zna kog vidiš u meni,sfrj,pop,ljubav,negativno,"sumnja, emotivna distanca, nesigurnost u vezi",
13eeadea5ab4,Aerodrom,Kvari sve,sfrj,pop,ljubav,negativno,"emotivna zavisnost, samorazaranje, manipulacija",
ad9d37cc0bdc,Tereza Kesovija,Uspavanka za Ivu,sfrj,pop,prijateljstvo/porodica,pozitivno,"roditeljska ljubav, zaštita, bezuslovna predanost detetu",
52fdec8ab8a0,Crvena jabuka,Oči boje srne,sfrj,pop,raskid/tuga,negativno,"opsesija, bezuslovna ljubav, patnja i žrtva",
a350e6faee00,Zdravko Čolić,Julija,sfrj,pop,ljubav,pozitivno,"divljenje, posvećenost, romantična obsesija",
7b17091045ba,Crvena jabuka,Sestro srca mog,sfrj,pop,raskid/tuga,negativno,"kajanje, nostalgija, gubici zbog slepoće za onim što je važno",
80ad3990c95f,Zdravko Čolić,Ostanimo prijatelji,sfrj,pop,raskid/tuga,mešano,"nostalgija, pomirenje sa sudbinom, čuvanje dragocenih uspomena",
21c8e36f6976,Oliver Dragojević,Dobar dan,sfrj,pop,raskid/tuga,negativno,"nostalgia, bol od gubitka, tuga od rastanka",
604cb2562bcd,Tereza Kesovija,Zaboravi ako možeš,sfrj,pop,raskid/tuga,negativno,"nostalgija, bol od gubitka, nemoć da se zadrži ljubav",
2ba885f1f723,Crvena jabuka,Ovo je kraj (feat. Neverne bebe),sfrj,pop,raskid/tuga,negativno,"žaljenje, neizvesnost, bolna odluka, nedostajanje",
112cbe3bed03,Regina,Minijatura,sfrj,pop,identitet/domovina,negativno,"usamljenost u uspehu, manipulacija okolinom, buntovnost",
5fd867adba6f,Novi fosili,Sklopi oči,sfrj,pop,ljubav,mešano,"posvećenost, uslovna vernost, prijetnja napuštanja",
285fcd001bc8,Tereza Kesovija,Ti si moj grijeh,sfrj,pop,ljubav,pozitivno,"apsolutna predanost, duhovnost ljubavi, sjedinjenje sa dragom osobom",
ab53480cd415,Arsen Dedić,Majko moja,sfrj,pop,ljubav,pozitivno,"nežnost, zaštita, posvećenost",
08219dd4651a,Oliver Dragojević,Ča je život vengo fantazija,sfrj,pop,ljubav,mešano,"ljubav kao katarza, sudbina, prihvatanje tuge, beskrajnost vremena",
cf70f8330ce3,Zdravko Čolić,Osvojio bi’ sve,sfrj,pop,hedonizam/provod,pozitivno,"osvajanje, uživanje u ženskoj lepoti, bezbrižnost",
a49d19e51cc4,Plavi orkestar,Djevojka iz snova,sfrj,pop,ljubav,pozitivno,"strast, hedonizam, neodoljiva privlačnost",
1c522f9febb6,Oliver Dragojević,Gore si ti,sfrj,pop,raskid/tuga,negativno,"žal za preminulom osobom, spiritualnost, večna ljubav",
b67cb3e998b0,Oliver Dragojević,Nisam te zaslužio,sfrj,pop,raskid/tuga,negativno,"kajanje, samoprigor, beznadežnost, gubitak ljubavi",
4da5ef081d5e,Josipa Lisac,Bila sam žena,sfrj,pop,ljubav,mešano,"intenzivna strast, boljenje nakon raskida, budenje ženskog identiteta",
077b072f8f9b,Oliver Dragojević,Kreni,sfrj,pop,raskid/tuga,negativno,"poricanje bola, ponos, samozavaralactvo",
34e9583c7969,Crvena jabuka,Lud za tobom,sfrj,pop,ljubav,negativno,"samoporicanje, opsjednutost, pretrpljenje za ljubav",
cd63641a5618,Zdravko Čolić,Kristina,sfrj,pop,ljubav,pozitivno,"nostalgija, toplina ljudskog kontakta, romanticizam",
466eed6ed0d9,Tereza Kesovija,Sinoć kad sklopih oči,sfrj,pop,prijateljstvo/porodica,negativno,"nostalgija, čežnja za prijateljima, tuга rastanstva",
04e0f0fbabe6,Josipa Lisac,Omer-beže,sfrj,pop,ljubav,mešano,"izdaja, bol od nevere, prihvatanje sudbine",
4470733f332a,Zdravko Čolić,Negdje na dnu srca,sfrj,pop,raskid/tuga,negativno,"nostalalgija, nemoć pred osjećanjima, pomirenje sa gubitkom",
be12542cdaf1,Oliver Dragojević,Ja te ljubim,sfrj,pop,ljubav,pozitivno,"duboka intimnost, posvećenost partneru, romantična idealizacija",
e3bc46a3d732,Oliver Dragojević,Malinkonija,sfrj,pop,raskid/tuga,negativno,"nostalalgija, prolaznost mladosti, melanholija, samoća",
af1089894414,Crvena jabuka,Ljeta koja dolaze,sfrj,pop,ljubav,mešano,"nostalgija, nada usred bola, čeznja",
457821a589c0,Josipa Lisac,Intima,sfrj,pop,ljubav,pozitivno,"bekstvo od surovosti civilizacije, intimnost, zajedništvo sa voljenom osobom",
25fbd03b1a8c,Aerodrom,Obična ljubavna pjesma,sfrj,pop,ljubav,mešano,"iskrenost, vernost, jednostavnost, čežnja za boljim svetom",
30af36fac1b4,Zdravko Čolić,Ajde idi,sfrj,pop,ljubav,mešano,"ljubav kao privremena iluzija, opasnost od zavisnosti, fizička privlačnost",
69335a1dfe68,Zdravko Čolić,Vrijeme,sfrj,pop,raskid/tuga,negativno,"neizbežnost sudbine, melanholia, napuštenost",
797476837aeb,Arsen Dedić,Ne plači,sfrj,pop,raskid/tuga,mešano,"pomirenje sa sudbinom, samodostojanstvo, beg od vezanosti",
3b14740342c8,Novi fosili,Noćas umiru stare ljubavi,sfrj,pop,ljubav,negativno,"bol rastajanja, posljednja molba za ostankom, nada u ljubavi",
2691b4d43a9c,Zdravko Čolić,Hej suzo,sfrj,pop,raskid/tuga,negativno,"žal za izgubljenom ljubavlju, patnja od odvajanja, beznadežnost",
da578257b895,Novi fosili,Šu šu,sfrj,pop,ljubav,mešano,"prihvatanje laži, nemogućnost da se otkine, manipulacija u odnosu",
8a417b6278dc,Oliver Dragojević,Teško te zaboravljam,sfrj,pop,raskid/tuga,negativno,"bol od odvajanja, zaštita vlastitog srca, nemogućnost zaboravljanja",
55c554a0d197,Crvena jabuka,Anđeli,sfrj,pop,identitet/domovina,mešano,"spiritualnost, zaštita viših sila, pomirenje sa sopstvenim greškama",
c8f99fb8e6cf,Josipa Lisac,O jednoj mladosti,sfrj,pop,identitet/domovina,negativno,"razočaranje, gubitak iluzija, traženje smisla",
15ff9963227b,Oliver Dragojević,Štorija,sfrj,pop,identitet/domovina,pozitivno,"ponos na domovinu, poštovanje tradicije, ljubav prema Dalmaciji",
ce826de582c4,Zdravko Čolić,Ti si bila uvijek bila,sfrj,pop,raskid/tuga,negativno,"kajanje, pokajanje, bezuslovna ljubav, nada uprkos boli",
a1cf58fe468c,Novi fosili,Dunjo mirisna,sfrj,pop,prijateljstvo/porodica,pozitivno,"nostalalgija, privrženost tradiciji, bezuslovna ljubav prema majci",
ceb0204d153a,Crvena jabuka,Na dlanu mi piše,sfrj,pop,ljubav,negativno,"melanholija, strepnja, traženje utehe i blizine",
540a9846d8b5,Crvena jabuka,Svijet je lopta šarena,sfrj,pop,ostalo,negativno,"existencijalna tuga, izgubljeno detinjstvo, propuštene šanse, traganje za smislom",
342810091afa,Oliver Dragojević,Vrime je,sfrj,pop,raskid/tuga,negativno,"prihvatanje sudbine, žal za izgubljenom ljubavlju, samo u snovima",
bbaab0e849f4,Oliver Dragojević,Bez tebe,sfrj,pop,ljubav,mešano,"zahvalnost, bezuslovna podrška, zavisnost od voljene osobe",
f40c0257a9c4,Novi fosili,Vrijeme,sfrj,pop,ljubav,pozitivno,"ljubav kao večna sila, ljubav kao spas, prevazilaženje vremena",
6508caca1f70,Arsen Dedić,Moja ljubav ima,sfrj,pop,ljubav,pozitivno,"idealizacija ljubavnice, romantična preданост, vječna nada",
174480937759,Plavi orkestar,Mladene,sfrj,pop,hedonizam/provod,pozitivno,"samopouzdanje, flertovanje, zabava, popularnost",
c391346130af,Crvena jabuka,Sve što imaš ti,sfrj,pop,ljubav,mešano,"čežnja, posvećenost, strah od gubitka",
22966a7e92e7,Zdravko Čolić,Pamti me po dobru,sfrj,pop,raskid/tuga,negativno,"samopouzdanje u samoprijekoru, altruizam, samodostojnost kroz odricanje",
eb22d28ddf79,Crvena jabuka,Stižu me sjećanja,sfrj,pop,raskid/tuga,negativno,"nostalalgija, melanholija, prihvatanje sudbine, melancholični refleks na prošlost",
3534de119ae7,Zdravko Čolić,Daj mi to,sfrj,pop,ljubav,negativno,"odbijanje nesrazmerne ljubavi, samodostojnost, granice",
4af6db089a58,Oliver Dragojević,Manuela,sfrj,pop,ljubav,mešano,"strasna požuda, bittersweet čežnja, melanholična nežnost",
c874293f55e6,Zdravko Čolić,Čarape crne,sfrj,pop,ljubav,pozitivno,"želja, čulnost, muška fascinacija",
d8661e3ceebb,Arsen Dedić,Ti me činiš boljim,sfrj,pop,ljubav,pozitivno,"ljubav kao spasenje, pronalaženje smisla kroz drugu osobu, razrešenje nesigurnosti",
93cde341f48b,Tereza Kesovija,Prijatelji stari gdje ste,sfrj,pop,prijateljstvo/porodica,negativno,"nostalgija, izgubljeno vreme mladosti, tuga zbog rastanka",
ad894180ff6a,Novi fosili,Bilo mi je prvi put,sfrj,pop,ljubav,negativno,"nostalgija, izgubljena nevinost, tuga za prošlošću",
b5bd307c2fe6,Crvena jabuka,Noći su hladne,sfrj,pop,ljubav,negativno,"nostalgija, daljina i odvojenost, tuga od odvajanja",
fd8ab92aa257,Galija,Noć,sfrj,rok,raskid/tuga,negativno,"očaj, neizvesnost, gubitak nade",
f67a5d90ecd9,Prljavo kazalište,"Laku noć, tebi, Zagrebe",sfrj,rok,identitet/domovina,negativno,"ponos periferije, kritika društvene hijerarhije, resentiman prema eliti",
9294ba8da159,Divlje jagode,Želim da te imam,sfrj,rok,ljubav,negativno,"neispunjena želja, jalov san, razočarenje",
a9945ecec623,Prljavo kazalište,Skočit ću,sfrj,rok,raskid/tuga,negativno,"sumnja, izdaja, bolna iskupljenja, beznadežnost",
